[30/04/2022 09:57:27 - INFO] Discord Presence activated
[30/04/2022 09:57:27 - INFO] Creating discord-rpc client
[30/04/2022 09:57:27 - INFO] Successfully connected to Discord
[30/04/2022 09:57:27 - DEBUG] Loading git extension
[30/04/2022 09:57:27 - TRACE] Git extension not activated, activating...
[30/04/2022 09:57:27 - DEBUG] Loading git extension
[30/04/2022 09:57:27 - TRACE] Git extension not activated, activating...
[30/04/2022 09:57:28 - TRACE] VSCode language id: javascript
[30/04/2022 09:57:39 - TRACE] VSCode language id: javascript
[30/04/2022 09:57:41 - TRACE] VSCode language id: javascript
[30/04/2022 09:57:43 - TRACE] VSCode language id: javascript
[30/04/2022 09:57:45 - TRACE] VSCode language id: javascript
[30/04/2022 15:17:33 - TRACE] VSCode language id: javascript
[30/04/2022 15:17:35 - TRACE] VSCode language id: javascript
[30/04/2022 15:17:43 - TRACE] VSCode language id: javascript
[30/04/2022 15:17:51 - TRACE] VSCode language id: javascript
[30/04/2022 15:17:53 - TRACE] VSCode language id: javascript
[30/04/2022 15:17:55 - TRACE] VSCode language id: javascript
[30/04/2022 15:17:57 - TRACE] VSCode language id: javascript
[30/04/2022 15:17:59 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:01 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:03 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:05 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:07 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:08 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:10 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:12 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:21 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:23 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:25 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:26 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:28 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:31 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:36 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:38 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:40 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:42 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:43 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:50 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:52 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:53 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:55 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:57 - TRACE] VSCode language id: javascript
[30/04/2022 15:18:59 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:02 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:04 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:06 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:10 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:13 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:17 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:22 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:24 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:26 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:27 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:34 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:36 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:38 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:46 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:48 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:50 - TRACE] VSCode language id: javascript
[30/04/2022 15:19:52 - TRACE] VSCode language id: javascript
